,Unnamed: 0.1,Unnamed: 0,key,option_mapping,question,references,option_ordinal
18,18,18,HELPHURTB_W29,"{1.0: 'Has done more to help my job or career', 2.0: 'Has done more to hurt my job or career', 3.0: ""Hasn't made much of a difference"", 99.0: 'Refused'}","Thinking about your work life, has more women in the workforce done more to help or hurt your job or career, or hasn't it made much of a difference for your job or career?","['Has done more to help my job or career', 'Has done more to hurt my job or career', ""Hasn't made much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
19,19,19,HELPHURTC_W29,"{1.0: 'Has done more to help my job or career', 2.0: 'Has done more to hurt my job or career', 3.0: ""Hasn't made much of a difference"", 99.0: 'Refused'}","Thinking about your work life, has a growing emphasis on diversity in the workplace done more to help or hurt your job or career, or hasn't it made much of a difference for your job or career?","['Has done more to help my job or career', 'Has done more to hurt my job or career', ""Hasn't made much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
20,20,20,HELPHURTD_W29,"{1.0: 'Has done more to help my job or career', 2.0: 'Has done more to hurt my job or career', 3.0: ""Hasn't made much of a difference"", 99.0: 'Refused'}","Thinking about your work life, has increased outsourcing of jobs to other countries done more to help or hurt your job or career, or hasn't it made much of a difference for your job or career?","['Has done more to help my job or career', 'Has done more to hurt my job or career', ""Hasn't made much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
21,21,21,HELPHURTE_W29,"{1.0: 'Has done more to help my job or career', 2.0: 'Has done more to hurt my job or career', 3.0: ""Hasn't made much of a difference"", 99.0: 'Refused'}","Thinking about your work life, has automation of jobs through new technology in the workplace done more to help or hurt your job or career, or hasn't it made much of a difference for your job or career?","['Has done more to help my job or career', 'Has done more to hurt my job or career', ""Hasn't made much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
22,22,22,HELPHURTF_W29,"{1.0: 'Has done more to help my job or career', 2.0: 'Has done more to hurt my job or career', 3.0: ""Hasn't made much of a difference"", 99.0: 'Refused'}","Thinking about your work life, has more foreign-made products being sold in the U.S. done more to help or hurt your job or career, or hasn't it made much of a difference for your job or career?","['Has done more to help my job or career', 'Has done more to hurt my job or career', ""Hasn't made much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
23,23,23,HELPHURTG_W29,"{1.0: 'Has done more to help my job or career', 2.0: 'Has done more to hurt my job or career', 3.0: ""Hasn't made much of a difference"", 99.0: 'Refused'}","Thinking about your work life, has more U.S.-made products being sold in other countries done more to help or hurt your job or career, or hasn't it made much of a difference for your job or career?","['Has done more to help my job or career', 'Has done more to hurt my job or career', ""Hasn't made much of a difference"", 'Refused']","[1.0, 2.0, 1.5]"
24,24,24,TRANSGEND1_W29,"{1.0: 'Whether someone is a man or a woman is determined by the sex they were assigned at birth', 2.0: 'Someone can be a man or a woman even if that is different from the sex they were assigned at birth', 99.0: 'Refused'}","Which statement comes closer to your views, even if neither is exactly right?","['Whether someone is a man or a woman is determined by the sex they were assigned at birth', 'Someone can be a man or a woman even if that is different from the sex they were assigned at birth', 'Refused']","[1.0, 2.0]"
25,25,25,SEENMASC_W29,"{1.0: 'Very important', 2.0: 'Somewhat important', 3.0: 'Not too important', 4.0: 'Not at all important', 99.0: 'Refused'}","On a different topic how important is it to you, personally, to be seen by others as manly or masculine?","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
26,26,26,SEENFEM_W29,"{1.0: 'Very important', 2.0: 'Somewhat important', 3.0: 'Not too important', 4.0: 'Not at all important', 99.0: 'Refused'}","On a different topic how important is it to you, personally, to be seen by others as womanly or feminine?","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
27,27,27,MAN1A_W29,"{1.0: 'A lot', 2.0: 'Some', 3.0: 'Not too much', 4.0: 'None at all', 99.0: 'Refused'}","In general, how much pressure, if any, do you think men face in our country these days to be interested in sports?","['A lot', 'Some', 'Not too much', 'None at all', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
28,28,28,MAN1B_W29,"{1.0: 'A lot', 2.0: 'Some', 3.0: 'Not too much', 4.0: 'None at all', 99.0: 'Refused'}","In general, how much pressure, if any, do you think men face in our country these days to have many sexual partners?","['A lot', 'Some', 'Not too much', 'None at all', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
29,29,29,MAN1C_W29,"{1.0: 'A lot', 2.0: 'Some', 3.0: 'Not too much', 4.0: 'None at all', 99.0: 'Refused'}","In general, how much pressure, if any, do you think men face in our country these days to join in when other men are talking about women in a sexual way?","['A lot', 'Some', 'Not too much', 'None at all', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
30,30,30,MAN1D_W29,"{1.0: 'A lot', 2.0: 'Some', 3.0: 'Not too much', 4.0: 'None at all', 99.0: 'Refused'}","In general, how much pressure, if any, do you think men face in our country these days to be willing to throw a punch if provoked?","['A lot', 'Some', 'Not too much', 'None at all', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
31,31,31,MAN1E_W29,"{1.0: 'A lot', 2.0: 'Some', 3.0: 'Not too much', 4.0: 'None at all', 99.0: 'Refused'}","In general, how much pressure, if any, do you think men face in our country these days to be emotionally strong?","['A lot', 'Some', 'Not too much', 'None at all', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
32,32,32,MESUM1_FA_W29,"{1.0: 'Describes me well', 2.0: 'Does not describe me well', 99.0: 'Refused'}","How well, if at all, do the following words or phrases describe you? Honor and duty are my core values","['Describes me well', 'Does not describe me well', 'Refused']","[1.0, 2.0]"
33,33,33,MESUM1_FB_W29,"{1.0: 'Describes me well', 2.0: 'Does not describe me well', 99.0: 'Refused'}","How well, if at all, do the following words or phrases describe you? Compassion and helping others are my core values","['Describes me well', 'Does not describe me well', 'Refused']","[1.0, 2.0]"
34,34,34,MESUM1_FC_W29,"{1.0: 'Describes me well', 2.0: 'Does not describe me well', 99.0: 'Refused'}","How well, if at all, do the following words or phrases describe you? Willing to work with people I disagree with","['Describes me well', 'Does not describe me well', 'Refused']","[1.0, 2.0]"
35,35,35,MESUM1_FD_W29,"{1.0: 'Describes me well', 2.0: 'Does not describe me well', 99.0: 'Refused'}","How well, if at all, do the following words or phrases describe you? Blue collar","['Describes me well', 'Does not describe me well', 'Refused']","[1.0, 2.0]"
36,36,36,MESUM1_FE_W29,"{1.0: 'Describes me well', 2.0: 'Does not describe me well', 99.0: 'Refused'}","How well, if at all, do the following words or phrases describe you? Focused on my professional life and career","['Describes me well', 'Does not describe me well', 'Refused']","[1.0, 2.0]"
37,37,37,MESUM1_FF_W29,"{1.0: 'Describes me well', 2.0: 'Does not describe me well', 99.0: 'Refused'}","How well, if at all, do the following words or phrases describe you? Interested in visiting other countries","['Describes me well', 'Does not describe me well', 'Refused']","[1.0, 2.0]"
38,38,38,MESUM2_FA_W29,"{1.0: 'Describes me well', 2.0: 'Does not describe me well', 99.0: 'Refused'}","How well, if at all, do the following words or phrases describe you? Environmentalist","['Describes me well', 'Does not describe me well', 'Refused']","[1.0, 2.0]"
39,39,39,MESUM2_FB_W29,"{1.0: 'Describes me well', 2.0: 'Does not describe me well', 99.0: 'Refused'}","How well, if at all, do the following words or phrases describe you? Have traditional values","['Describes me well', 'Does not describe me well', 'Refused']","[1.0, 2.0]"
40,40,40,MESUM2_FC_W29,"{1.0: 'Describes me well', 2.0: 'Does not describe me well', 99.0: 'Refused'}","How well, if at all, do the following words or phrases describe you? Supporter of the National Rifle Association NRA","['Describes me well', 'Does not describe me well', 'Refused']","[1.0, 2.0]"
41,41,41,MESUM2_FD_W29,"{1.0: 'Describes me well', 2.0: 'Does not describe me well', 99.0: 'Refused'}","How well, if at all, do the following words or phrases describe you? Supporter of the Black Lives Matter movement","['Describes me well', 'Does not describe me well', 'Refused']","[1.0, 2.0]"
42,42,42,MESUM2_FE_W29,"{1.0: 'Describes me well', 2.0: 'Does not describe me well', 99.0: 'Refused'}","How well, if at all, do the following words or phrases describe you? Supporter of rights for lesbian, gay, bisexual and transgender LGBT people","['Describes me well', 'Does not describe me well', 'Refused']","[1.0, 2.0]"
43,43,43,MESUM2_FF_W29,"{1.0: 'Describes me well', 2.0: 'Does not describe me well', 99.0: 'Refused'}","How well, if at all, do the following words or phrases describe you? Consider myself a feminist","['Describes me well', 'Does not describe me well', 'Refused']","[1.0, 2.0]"
44,44,44,TRANSGEND2_W29,"{1.0: 'Yes', 2.0: 'No', 99.0: 'Refused'}","Thinking about the people you know, including yourself, do you personally know anyone who is transgender, or not?","['Yes', 'No', 'Refused']","[1.0, 2.0]"
45,45,45,TRANSGEND3_W29,"{1.0: 'Our society has gone too far in accepting people who are transgender', 2.0: 'Our society has not gone far enough in accepting people who are transgender', 3.0: 'Our society has been about right when it comes to accepting people who are transgender', 99.0: 'Refused'}",Which of the following statements comes closer to your feelings?,"['Our society has gone too far in accepting people who are transgender', 'Our society has not gone far enough in accepting people who are transgender', 'Our society has been about right when it comes to accepting people who are transgender', 'Refused']","[1.0, 2.0, 1.5]"
46,46,46,TRAITSA_W29,"{1.0: 'Very well', 2.0: 'Somewhat well', 3.0: 'Not too well', 4.0: 'Not at all well', 99.0: 'Refused'}","How well, if at all, do the following words or phrases describe you? Intelligent","['Very well', 'Somewhat well', 'Not too well', 'Not at all well', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
47,47,47,TRAITSB_W29,"{1.0: 'Very well', 2.0: 'Somewhat well', 3.0: 'Not too well', 4.0: 'Not at all well', 99.0: 'Refused'}","How well, if at all, do the following words or phrases describe you? Physically attractive","['Very well', 'Somewhat well', 'Not too well', 'Not at all well', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
48,48,48,TRAITSC_W29,"{1.0: 'Very well', 2.0: 'Somewhat well', 3.0: 'Not too well', 4.0: 'Not at all well', 99.0: 'Refused'}","How well, if at all, do the following words or phrases describe you? Nurturing","['Very well', 'Somewhat well', 'Not too well', 'Not at all well', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
49,49,49,TRAITSD_W29,"{1.0: 'Very well', 2.0: 'Somewhat well', 3.0: 'Not too well', 4.0: 'Not at all well', 99.0: 'Refused'}","How well, if at all, do the following words or phrases describe you? Assertive","['Very well', 'Somewhat well', 'Not too well', 'Not at all well', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
50,50,50,TRAITSE_W29,"{1.0: 'Very well', 2.0: 'Somewhat well', 3.0: 'Not too well', 4.0: 'Not at all well', 99.0: 'Refused'}","How well, if at all, do the following words or phrases describe you? Physically strong","['Very well', 'Somewhat well', 'Not too well', 'Not at all well', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
51,51,51,TRAITSF_W29,"{1.0: 'Very well', 2.0: 'Somewhat well', 3.0: 'Not too well', 4.0: 'Not at all well', 99.0: 'Refused'}","How well, if at all, do the following words or phrases describe you? Sensitive","['Very well', 'Somewhat well', 'Not too well', 'Not at all well', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
52,52,52,BOYSF1A_W29,"{1.0: 'Too much emphasis', 2.0: 'Too little emphasis', 3.0: 'About right', 99.0: 'Refused'}","When it comes to raising boys, would you say there is too much emphasis or too little emphasis on encouraging boys to be leaders these days, or is it about right?","['Too much emphasis', 'Too little emphasis', 'About right', 'Refused']","[1.0, 2.0, 1.5]"
53,53,53,BOYSF1B_W29,"{1.0: 'Too much emphasis', 2.0: 'Too little emphasis', 3.0: 'About right', 99.0: 'Refused'}","When it comes to raising boys, would you say there is too much emphasis or too little emphasis on encouraging boys to talk about their feelings when they are sad or upset these days, or is it about right?","['Too much emphasis', 'Too little emphasis', 'About right', 'Refused']","[1.0, 2.0, 1.5]"
54,54,54,BOYSF1C_W29,"{1.0: 'Too much emphasis', 2.0: 'Too little emphasis', 3.0: 'About right', 99.0: 'Refused'}","When it comes to raising boys, would you say there is too much emphasis or too little emphasis on encouraging boys to stand up for themselves these days, or is it about right?","['Too much emphasis', 'Too little emphasis', 'About right', 'Refused']","[1.0, 2.0, 1.5]"
55,55,55,BOYSF1D_W29,"{1.0: 'Too much emphasis', 2.0: 'Too little emphasis', 3.0: 'About right', 99.0: 'Refused'}","When it comes to raising boys, would you say there is too much emphasis or too little emphasis on encouraging boys to do well in school these days, or is it about right?","['Too much emphasis', 'Too little emphasis', 'About right', 'Refused']","[1.0, 2.0, 1.5]"
56,56,56,GIRLSF2A_W29,"{1.0: 'Too much emphasis', 2.0: 'Too little emphasis', 3.0: 'About right', 99.0: 'Refused'}","When it comes to raising girls, would you say there is too much emphasis or too little emphasis on encouraging girls to be leaders these days, or is it about right?","['Too much emphasis', 'Too little emphasis', 'About right', 'Refused']","[1.0, 2.0, 1.5]"
57,57,57,GIRLSF2B_W29,"{1.0: 'Too much emphasis', 2.0: 'Too little emphasis', 3.0: 'About right', 99.0: 'Refused'}","When it comes to raising girls, would you say there is too much emphasis or too little emphasis on encouraging girls to talk about their feelings when they are sad or upset these days, or is it about right?","['Too much emphasis', 'Too little emphasis', 'About right', 'Refused']","[1.0, 2.0, 1.5]"
58,58,58,GIRLSF2C_W29,"{1.0: 'Too much emphasis', 2.0: 'Too little emphasis', 3.0: 'About right', 99.0: 'Refused'}","When it comes to raising girls, would you say there is too much emphasis or too little emphasis on encouraging girls to stand up for themselves these days, or is it about right?","['Too much emphasis', 'Too little emphasis', 'About right', 'Refused']","[1.0, 2.0, 1.5]"
59,59,59,GIRLSF2D_W29,"{1.0: 'Too much emphasis', 2.0: 'Too little emphasis', 3.0: 'About right', 99.0: 'Refused'}","When it comes to raising girls, would you say there is too much emphasis or too little emphasis on encouraging girls to do well in school these days, or is it about right?","['Too much emphasis', 'Too little emphasis', 'About right', 'Refused']","[1.0, 2.0, 1.5]"
60,60,60,SPOUSESEX_W29,"{1.0: 'Opposite sex', 2.0: 'Same sex', 99.0: 'Refused'}",Thinking about your spouse or partner is your spouse or partner of the opposite sex as you or the same sex as you?,"['Opposite sex', 'Same sex', 'Refused']","[1.0, 2.0]"
61,61,61,HOOD_NHISA_W29,"{1.0: 'Definitely agree', 2.0: 'Somewhat agree', 3.0: 'Somewhat disagree', 4.0: 'Definitely disagree', 99.0: 'Refused'}",How much do you agree or disagree with the following statements about your neighborhood? There are people I can count on in this neighborhood,"['Definitely agree', 'Somewhat agree', 'Somewhat disagree', 'Definitely disagree', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
62,62,62,HOOD_NHISB_W29,"{1.0: 'Definitely agree', 2.0: 'Somewhat agree', 3.0: 'Somewhat disagree', 4.0: 'Definitely disagree', 99.0: 'Refused'}",How much do you agree or disagree with the following statements about your neighborhood? People in this neighborhood can be trusted,"['Definitely agree', 'Somewhat agree', 'Somewhat disagree', 'Definitely disagree', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
63,63,63,HOOD_NHISC_W29,"{1.0: 'Definitely agree', 2.0: 'Somewhat agree', 3.0: 'Somewhat disagree', 4.0: 'Definitely disagree', 99.0: 'Refused'}",How much do you agree or disagree with the following statements about your neighborhood? This is a close-knit neighborhood,"['Definitely agree', 'Somewhat agree', 'Somewhat disagree', 'Definitely disagree', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
64,64,64,LOCALELECT_W29,"{1.0: 'Always vote in local elections', 2.0: 'Sometimes vote in local elections', 3.0: 'Rarely vote in local elections', 4.0: 'Never vote in local elections', 99.0: 'Refused'}","The next question is about local elections, such as for mayor or a school board. Do you","['Always vote in local elections', 'Sometimes vote in local elections', 'Rarely vote in local elections', 'Never vote in local elections', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
65,65,65,PARTICIPATEA_W29,"{1.0: 'Yes', 2.0: 'No', 99.0: 'Refused'}","Have you participated in any of these groups during the last 12 months, that is since September 2016? A school group, neighborhood, or community association such as PTA or neighborhood watch group","['Yes', 'No', 'Refused']","[1.0, 2.0]"
66,66,66,PARTICIPATEB_W29,"{1.0: 'Yes', 2.0: 'No', 99.0: 'Refused'}","Have you participated in any of these groups during the last 12 months, that is since September 2016? A service or civic organization such as American Legion or Lions Club","['Yes', 'No', 'Refused']","[1.0, 2.0]"
67,67,67,PARTICIPATEC_W29,"{1.0: 'Yes', 2.0: 'No', 99.0: 'Refused'}","Have you participated in any of these groups during the last 12 months, that is since September 2016? A sports or recreation organization such as a soccer club or tennis club","['Yes', 'No', 'Refused']","[1.0, 2.0]"
68,68,68,S7_W29,"{1.0: 'Yes', 2.0: 'No', 99.0: 'Refused'}","In the last 12 months, that is since September 2016, have you served on a committee or as an officer of any group or organization?","['Yes', 'No', 'Refused']","[1.0, 2.0]"
69,69,69,S12_W29,"{1.0: 'Basically every day', 2.0: 'A few times a week', 3.0: 'A few times a month', 4.0: 'Once a month', 5.0: 'Less than once a month', 6.0: 'Not at all', 99.0: 'Refused'}","In the last 12 months, how often did you eat dinner with any of the other members of your household?","['Basically every day', 'A few times a week', 'A few times a month', 'Once a month', 'Less than once a month', 'Not at all', 'Refused']","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
70,70,70,S13_W29,"{1.0: 'Basically every day', 2.0: 'A few times a week', 3.0: 'A few times a month', 4.0: 'Once a month', 5.0: 'Less than once a month', 6.0: 'Not at all', 99.0: 'Refused'}","This next question is about friends and family you do not live with. During the last twelve months, how often did you see or hear from friends or family, whether in-person or not?","['Basically every day', 'A few times a week', 'A few times a month', 'Once a month', 'Less than once a month', 'Not at all', 'Refused']","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
71,71,71,TALK_CPS_W29,"{1.0: 'Basically every day', 2.0: 'A few times a week', 3.0: 'A few times a month', 4.0: 'Once a month', 5.0: 'Less than once a month', 6.0: 'Not at all', 99.0: 'Refused'}","In the last 12 months, how often did you talk with any of your neighbors?","['Basically every day', 'A few times a week', 'A few times a month', 'Once a month', 'Less than once a month', 'Not at all', 'Refused']","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
72,72,72,FAVORS_CPS_W29,"{1.0: 'Basically every day', 2.0: 'A few times a week', 3.0: 'A few times a month', 4.0: 'Once a month', 5.0: 'Less than once a month', 6.0: 'Not at all', 99.0: 'Refused'}","In the last 12 months, how often did you and your neighbors do favors for each other?","['Basically every day', 'A few times a week', 'A few times a month', 'Once a month', 'Less than once a month', 'Not at all', 'Refused']","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
73,73,73,WORRYRET_W29,"{1.0: 'Very worried', 2.0: 'Moderately worried', 3.0: 'Not too worried', 4.0: 'Not worried at all', 99.0: 'Refused'}",How worried are you right now about not having enough money for retirement?,"['Very worried', 'Moderately worried', 'Not too worried', 'Not worried at all', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
74,74,74,WORRYBILL_W29,"{1.0: 'Very worried', 2.0: 'Moderately worried', 3.0: 'Not too worried', 4.0: 'Not worried at all', 99.0: 'Refused'}",How worried are you right now about not having enough to pay your normal monthly bills?,"['Very worried', 'Moderately worried', 'Not too worried', 'Not worried at all', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
75,75,75,GOPDIRCT_W29,"{1.0: 'Very optimistic', 2.0: 'Somewhat optimistic', 3.0: 'Somewhat pessimistic', 4.0: 'Very pessimistic', 99.0: 'Refused'}","Thinking about the future of the Republican Party, would you say that you are","['Very optimistic', 'Somewhat optimistic', 'Somewhat pessimistic', 'Very pessimistic', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
76,76,76,DEMDIRCT_W29,"{1.0: 'Very optimistic', 2.0: 'Somewhat optimistic', 3.0: 'Somewhat pessimistic', 4.0: 'Very pessimistic', 99.0: 'Refused'}","Thinking about the future of the Democratic Party, would you say that you are","['Very optimistic', 'Somewhat optimistic', 'Somewhat pessimistic', 'Very pessimistic', 'Refused']","[1.0, 2.0, 3.0, 4.0]"
