,index,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,key,option_mapping,question,references,option_ordinal,survey
27,44,44,44,44,GROWUPGUN2C_W26,"{1.0: 'Yes, was a reason', 2.0: 'No, was not a reason', 99.0: 'Refused'}","Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For sport shooting, including target shooting and trap and skeet","['Yes, was a reason', 'No, was not a reason', 'Refused']","[1.0, 2.0]",Pew_American_Trends_Panel_W26
28,45,45,45,45,GROWUPGUN4_W26,"{1.0: 'All or most', 2.0: 'Some', 3.0: 'Only a few', 4.0: 'None', 99.0: 'Refused'}","Thinking about the people in the community where you spent the majority of time when you were growing up, as far as you know, how many people owned guns?","['All or most', 'Some', 'Only a few', 'None', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W26
29,46,46,46,46,GROWUPGUN6_W26,"{1.0: 'Often', 2.0: 'Sometimes', 3.0: 'Hardly ever', 4.0: 'Never', 99.0: 'Refused'}","How often, if ever, did you go shooting or to a gun range when you were growing up?","['Often', 'Sometimes', 'Hardly ever', 'Never', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W26
30,47,47,47,47,GROWUPGUN7_W26,"{1.0: 'Often', 2.0: 'Sometimes', 3.0: 'Hardly ever', 4.0: 'Never', 99.0: 'Refused'}","How often, if ever, did you use air guns, such as paintball, BB or pellet guns when you were growing up?","['Often', 'Sometimes', 'Hardly ever', 'Never', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W26
31,48,48,48,48,GUNRESPNOKIDSA_W26,"{1.0: 'Essential', 2.0: 'Important but not essential', 3.0: 'Not important', 4.0: 'Should not be done', 99.0: 'Refused'}",Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns in a locked place,"['Essential', 'Important but not essential', 'Not important', 'Should not be done', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W26
32,49,49,49,49,GUNRESPNOKIDSB_W26,"{1.0: 'Essential', 2.0: 'Important but not essential', 3.0: 'Not important', 4.0: 'Should not be done', 99.0: 'Refused'}",Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns unloaded,"['Essential', 'Important but not essential', 'Not important', 'Should not be done', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W26
33,50,50,50,50,GUNRESPNOKIDSC_W26,"{1.0: 'Essential', 2.0: 'Important but not essential', 3.0: 'Not important', 4.0: 'Should not be done', 99.0: 'Refused'}",Thinking about gun owners who do not have children in their home how important do you think it is for them to: Take gun safety courses,"['Essential', 'Important but not essential', 'Not important', 'Should not be done', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W26
34,51,51,51,51,GUNRESPNOKIDSD_W26,"{1.0: 'Essential', 2.0: 'Important but not essential', 3.0: 'Not important', 4.0: 'Should not be done', 99.0: 'Refused'}",Thinking about gun owners who do not have children in their home how important do you think it is for them to: Advise visitors that there are guns in the house,"['Essential', 'Important but not essential', 'Not important', 'Should not be done', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W26
35,52,52,52,52,GUNRESPNOKIDSE_W26,"{1.0: 'Essential', 2.0: 'Important but not essential', 3.0: 'Not important', 4.0: 'Should not be done', 99.0: 'Refused'}",Thinking about gun owners who do not have children in their home how important do you think it is for them to: Advise visitors with children that there are guns in the house,"['Essential', 'Important but not essential', 'Not important', 'Should not be done', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W26
36,53,53,53,53,GUNRESPNOKIDSF_W26,"{1.0: 'Essential', 2.0: 'Important but not essential', 3.0: 'Not important', 4.0: 'Should not be done', 99.0: 'Refused'}",Thinking about gun owners who do not have children in their home how important do you think it is for them to: Store guns and ammunition separately,"['Essential', 'Important but not essential', 'Not important', 'Should not be done', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W26
37,58,58,58,58,GUNRESPKIDSD_W26,"{1.0: 'Essential', 2.0: 'Important but not essential', 3.0: 'Not important', 4.0: 'Should not be done', 99.0: 'Refused'}","Thinking about gun owners who have children in their home, how important do you think it is for them to: Advise visitors that there are guns in the house","['Essential', 'Important but not essential', 'Not important', 'Should not be done', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W26
38,59,59,59,59,GUNRESPKIDSE_W26,"{1.0: 'Essential', 2.0: 'Important but not essential', 3.0: 'Not important', 4.0: 'Should not be done', 99.0: 'Refused'}","Thinking about gun owners who have children in their home, how important do you think it is for them to: Advise visitors with children that there are guns in the house","['Essential', 'Important but not essential', 'Not important', 'Should not be done', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W26
39,63,63,63,63,GUNSAFETYKIDS_W26,"{1.0: 'Yes', 2.0: 'No', 3.0: 'I do not have children under 18', 99.0: 'Refused'}","For this question, please think about your child or children who are under 18. Have you ever talked with your child or children about gun safety?","['Yes', 'No', 'I do not have children under 18', 'Refused']","[1.0, 2.0, 1.5]",Pew_American_Trends_Panel_W26
40,64,64,64,64,CARRYGUN_W26,"{1.0: 'All of the time', 2.0: 'Most of the time', 3.0: 'Only some of the time', 4.0: 'Never', 99.0: 'Refused'}","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?","['All of the time', 'Most of the time', 'Only some of the time', 'Never', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W26
41,65,65,65,65,NOCARRYGUN_W26,"{1.0: ""Don't want to carry"", 2.0: 'Some other reason', 99.0: 'Refused'}",And would you say you never carry a handgun or pistol because you don't want to or for some other reason?,"[""Don't want to carry"", 'Some other reason', 'Refused']","[1.0, 2.0]",Pew_American_Trends_Panel_W26
42,73,73,73,73,GUNACTIVITYA_W26,"{1.0: 'Often', 2.0: 'Sometimes', 3.0: 'Hardly ever', 4.0: 'Never', 99.0: 'Refused'}","How often, if ever, do you visit websites about guns, hunting or other shooting sports","['Often', 'Sometimes', 'Hardly ever', 'Never', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W26
43,74,74,74,74,GUNACTIVITYB_W26,"{1.0: 'Often', 2.0: 'Sometimes', 3.0: 'Hardly ever', 4.0: 'Never', 99.0: 'Refused'}","How often, if ever, do you watch TV programs about guns or watch gun-oriented videos","['Often', 'Sometimes', 'Hardly ever', 'Never', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W26
0,8,8,8,8,MASC2_W29,"{1.0: 'Very manly or masculine', 2.0: 'Somewhat manly or masculine', 3.0: 'Not too manly or masculine', 4.0: 'Not at all manly or masculine', 99.0: 'Refused'}","Now thinking about how you see yourself, would you describe yourself as","['Very manly or masculine', 'Somewhat manly or masculine', 'Not too manly or masculine', 'Not at all manly or masculine', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W29
1,9,9,9,9,FEM2_W29,"{1.0: 'Very womanly or feminine', 2.0: 'Somewhat womanly or feminine', 3.0: 'Not too womanly or feminine', 4.0: 'Not at all womanly or feminine', 99.0: 'Refused'}","Now thinking about how you see yourself, would you describe yourself as","['Very womanly or feminine', 'Somewhat womanly or feminine', 'Not too womanly or feminine', 'Not at all womanly or feminine', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W29
2,25,25,25,25,SEENMASC_W29,"{1.0: 'Very important', 2.0: 'Somewhat important', 3.0: 'Not too important', 4.0: 'Not at all important', 99.0: 'Refused'}","On a different topic how important is it to you, personally, to be seen by others as manly or masculine?","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W29
3,26,26,26,26,SEENFEM_W29,"{1.0: 'Very important', 2.0: 'Somewhat important', 3.0: 'Not too important', 4.0: 'Not at all important', 99.0: 'Refused'}","On a different topic how important is it to you, personally, to be seen by others as womanly or feminine?","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W29
4,27,27,27,27,MAN1A_W29,"{1.0: 'A lot', 2.0: 'Some', 3.0: 'Not too much', 4.0: 'None at all', 99.0: 'Refused'}","In general, how much pressure, if any, do you think men face in our country these days to be interested in sports?","['A lot', 'Some', 'Not too much', 'None at all', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W29
5,28,28,28,28,MAN1B_W29,"{1.0: 'A lot', 2.0: 'Some', 3.0: 'Not too much', 4.0: 'None at all', 99.0: 'Refused'}","In general, how much pressure, if any, do you think men face in our country these days to have many sexual partners?","['A lot', 'Some', 'Not too much', 'None at all', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W29
6,29,29,29,29,MAN1C_W29,"{1.0: 'A lot', 2.0: 'Some', 3.0: 'Not too much', 4.0: 'None at all', 99.0: 'Refused'}","In general, how much pressure, if any, do you think men face in our country these days to join in when other men are talking about women in a sexual way?","['A lot', 'Some', 'Not too much', 'None at all', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W29
7,30,30,30,30,MAN1D_W29,"{1.0: 'A lot', 2.0: 'Some', 3.0: 'Not too much', 4.0: 'None at all', 99.0: 'Refused'}","In general, how much pressure, if any, do you think men face in our country these days to be willing to throw a punch if provoked?","['A lot', 'Some', 'Not too much', 'None at all', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W29
8,31,31,31,31,MAN1E_W29,"{1.0: 'A lot', 2.0: 'Some', 3.0: 'Not too much', 4.0: 'None at all', 99.0: 'Refused'}","In general, how much pressure, if any, do you think men face in our country these days to be emotionally strong?","['A lot', 'Some', 'Not too much', 'None at all', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W29
9,53,53,53,53,BOYSF1B_W29,"{1.0: 'Too much emphasis', 2.0: 'Too little emphasis', 3.0: 'About right', 99.0: 'Refused'}","When it comes to raising boys, would you say there is too much emphasis or too little emphasis on encouraging boys to talk about their feelings when they are sad or upset these days, or is it about right?","['Too much emphasis', 'Too little emphasis', 'About right', 'Refused']","[1.0, 2.0, 1.5]",Pew_American_Trends_Panel_W29
10,58,58,58,58,GIRLSF2C_W29,"{1.0: 'Too much emphasis', 2.0: 'Too little emphasis', 3.0: 'About right', 99.0: 'Refused'}","When it comes to raising girls, would you say there is too much emphasis or too little emphasis on encouraging girls to stand up for themselves these days, or is it about right?","['Too much emphasis', 'Too little emphasis', 'About right', 'Refused']","[1.0, 2.0, 1.5]",Pew_American_Trends_Panel_W29
11,59,59,59,59,GIRLSF2D_W29,"{1.0: 'Too much emphasis', 2.0: 'Too little emphasis', 3.0: 'About right', 99.0: 'Refused'}","When it comes to raising girls, would you say there is too much emphasis or too little emphasis on encouraging girls to do well in school these days, or is it about right?","['Too much emphasis', 'Too little emphasis', 'About right', 'Refused']","[1.0, 2.0, 1.5]",Pew_American_Trends_Panel_W29
12,62,62,62,62,HOOD_NHISB_W29,"{1.0: 'Definitely agree', 2.0: 'Somewhat agree', 3.0: 'Somewhat disagree', 4.0: 'Definitely disagree', 99.0: 'Refused'}",How much do you agree or disagree with the following statements about your neighborhood? People in this neighborhood can be trusted,"['Definitely agree', 'Somewhat agree', 'Somewhat disagree', 'Definitely disagree', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W29
13,64,64,64,64,LOCALELECT_W29,"{1.0: 'Always vote in local elections', 2.0: 'Sometimes vote in local elections', 3.0: 'Rarely vote in local elections', 4.0: 'Never vote in local elections', 99.0: 'Refused'}","The next question is about local elections, such as for mayor or a school board. Do you","['Always vote in local elections', 'Sometimes vote in local elections', 'Rarely vote in local elections', 'Never vote in local elections', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W29
14,69,69,69,69,S12_W29,"{1.0: 'Basically every day', 2.0: 'A few times a week', 3.0: 'A few times a month', 4.0: 'Once a month', 5.0: 'Less than once a month', 6.0: 'Not at all', 99.0: 'Refused'}","In the last 12 months, how often did you eat dinner with any of the other members of your household?","['Basically every day', 'A few times a week', 'A few times a month', 'Once a month', 'Less than once a month', 'Not at all', 'Refused']","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",Pew_American_Trends_Panel_W29
15,70,70,70,70,S13_W29,"{1.0: 'Basically every day', 2.0: 'A few times a week', 3.0: 'A few times a month', 4.0: 'Once a month', 5.0: 'Less than once a month', 6.0: 'Not at all', 99.0: 'Refused'}","This next question is about friends and family you do not live with. During the last twelve months, how often did you see or hear from friends or family, whether in-person or not?","['Basically every day', 'A few times a week', 'A few times a month', 'Once a month', 'Less than once a month', 'Not at all', 'Refused']","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",Pew_American_Trends_Panel_W29
16,71,71,71,71,TALK_CPS_W29,"{1.0: 'Basically every day', 2.0: 'A few times a week', 3.0: 'A few times a month', 4.0: 'Once a month', 5.0: 'Less than once a month', 6.0: 'Not at all', 99.0: 'Refused'}","In the last 12 months, how often did you talk with any of your neighbors?","['Basically every day', 'A few times a week', 'A few times a month', 'Once a month', 'Less than once a month', 'Not at all', 'Refused']","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",Pew_American_Trends_Panel_W29
17,72,72,72,72,FAVORS_CPS_W29,"{1.0: 'Basically every day', 2.0: 'A few times a week', 3.0: 'A few times a month', 4.0: 'Once a month', 5.0: 'Less than once a month', 6.0: 'Not at all', 99.0: 'Refused'}","In the last 12 months, how often did you and your neighbors do favors for each other?","['Basically every day', 'A few times a week', 'A few times a month', 'Once a month', 'Less than once a month', 'Not at all', 'Refused']","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]",Pew_American_Trends_Panel_W29
18,74,74,74,74,WORRYBILL_W29,"{1.0: 'Very worried', 2.0: 'Moderately worried', 3.0: 'Not too worried', 4.0: 'Not worried at all', 99.0: 'Refused'}",How worried are you right now about not having enough to pay your normal monthly bills?,"['Very worried', 'Moderately worried', 'Not too worried', 'Not worried at all', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W29
19,75,75,75,75,GOPDIRCT_W29,"{1.0: 'Very optimistic', 2.0: 'Somewhat optimistic', 3.0: 'Somewhat pessimistic', 4.0: 'Very pessimistic', 99.0: 'Refused'}","Thinking about the future of the Republican Party, would you say that you are","['Very optimistic', 'Somewhat optimistic', 'Somewhat pessimistic', 'Very pessimistic', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W29
0,3,3,3,3,SATLIFED_W32,"{1.0: 'Very satisfied', 2.0: 'Somewhat satisfied', 3.0: 'Somewhat dissatisfied', 4.0: 'Very dissatisfied', 99.0: 'Refused'}",Please tell us whether you are satisfied or dissatisfied with your current job or career.,"['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W32
1,6,6,6,6,SOCTRUST2_W32,"{1.0: 'Most people can be trusted', 2.0: 'Most people cannot be trusted', 99.0: 'Refused'}","Generally speaking, would you say that","['Most people can be trusted', 'Most people cannot be trusted', 'Refused']","[1.0, 2.0]",Pew_American_Trends_Panel_W32
2,9,9,9,9,COMMYRS_W32,"{1.0: 'Less than 1 year', 2.0: '1-5 years', 3.0: '6-10 years', 4.0: '11-20 years', 5.0: 'More than 20 years', 99.0: 'Refused'}",About how many years have you lived in your local community?,"['Less than 1 year', '1-5 years', '6-10 years', '11-20 years', 'More than 20 years', 'Refused']","[1.0, 2.0, 3.0, 4.0, 5.0]",Pew_American_Trends_Panel_W32
3,17,17,17,17,COMMIMPA_W32,"{1.0: 'Very important', 2.0: 'Somewhat important', 3.0: 'Not too important', 4.0: 'Not at all important', 99.0: 'Refused'}","How important is it to you, personally, to live in a community with access to art, music and theater","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W32
4,18,18,18,18,COMMIMPB_W32,"{1.0: 'Very important', 2.0: 'Somewhat important', 3.0: 'Not too important', 4.0: 'Not at all important', 99.0: 'Refused'}","How important is it to you, personally, to live in a community that is a good place to raise children","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W32
5,19,19,19,19,COMMIMPC_W32,"{1.0: 'Very important', 2.0: 'Somewhat important', 3.0: 'Not too important', 4.0: 'Not at all important', 99.0: 'Refused'}","How important is it to you, personally, to live in a community that is racially and ethnically diverse","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W32
6,22,22,22,22,COMMIMPF_W32,"{1.0: 'Very important', 2.0: 'Somewhat important', 3.0: 'Not too important', 4.0: 'Not at all important', 99.0: 'Refused'}","How important is it to you, personally, to live in a community where you have family nearby","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W32
7,23,23,23,23,COMMIMPG_W32,"{1.0: 'Very important', 2.0: 'Somewhat important', 3.0: 'Not too important', 4.0: 'Not at all important', 99.0: 'Refused'}","How important is it to you, personally, to live in a community with a strong sense of community","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']","[1.0, 2.0, 3.0, 4.0]",Pew_American_Trends_Panel_W32
